HGNC_symbol,ProteinID,DrugName,DrugCID,Drug,AE
GLTP,2evt,sonidegib,24775005,sonidegib-24775005,-12.2
PTPRN,3np5,nilotinib,644241,nilotinib-644241,-12.2
GLTP,4ghs,alectinib,49806720,alectinib-49806720,-12.2
GLTP,4gjq,alectinib,49806720,alectinib-49806720,-12.2
VEGFA,4gls,venetoclax,49846579,venetoclax-49846579,-12.2
FABP6,2mm3,abemaciclib,46220502,abemaciclib-46220502,-12.1
FABP6,2mm3,venetoclax,49846579,venetoclax-49846579,-12.1
GLTP,3s0i,dactinomycin,457193,dactinomycin-457193,-12.1
GLTP,3s0i,regorafenib,11167602,regorafenib-11167602,-12.1
GLTP,4gxd,aprepitant,135413536,aprepitant-135413536,-12.1
GLTP,2eum,sonidegib,24775005,sonidegib-24775005,-12
GLTP,3ric,venetoclax,49846579,venetoclax-49846579,-12
GLTP,4gjq,olaparib,23725625,olaparib-23725625,-12
GLTP,4gxg,olaparib,23725625,olaparib-23725625,-12
GLTP,4h2z,nilotinib,644241,nilotinib-644241,-12
GLTP,2evt,axitinib,6450551,axitinib-6450551,-11.9
GLTP,2evt,bexarotene,82146,bexarotene-82146,-11.9
FABP6,2mm3,nilotinib,644241,nilotinib-644241,-11.9
GLTP,3ric,regorafenib,11167602,regorafenib-11167602,-11.9
GLTP,3s0i,apalutamide,24872560,apalutamide-24872560,-11.9
GLTP,3s0i,ixabepilone,6445540,ixabepilone-6445540,-11.9
GLTP,4gxd,sonidegib,24775005,sonidegib-24775005,-11.9
VEGFA,3qtk,dactinomycin,457193,dactinomycin-457193,-11.8
GLTP,3s0k,alectinib,49806720,alectinib-49806720,-11.8
GLTP,3s0k,axitinib,6450551,axitinib-6450551,-11.8
GLTP,3s0k,olaparib,23725625,olaparib-23725625,-11.8
GLTP,4ghp,alectinib,49806720,alectinib-49806720,-11.8
GLTP,4ghp,sonidegib,24775005,sonidegib-24775005,-11.8
GLTP,4ghs,sonidegib,24775005,sonidegib-24775005,-11.8
GLTP,4gjq,sonidegib,24775005,sonidegib-24775005,-11.8
NR3C2,5hcv,nilotinib,644241,nilotinib-644241,-11.8
GLTP,2evd,abemaciclib,46220502,abemaciclib-46220502,-11.7
GLTP,2evt,regorafenib,11167602,regorafenib-11167602,-11.7
EPB41L3,2he7,nilotinib,644241,nilotinib-644241,-11.7
FABP6,2mm3,regorafenib,11167602,regorafenib-11167602,-11.7
GLTP,3ric,alectinib,49806720,alectinib-49806720,-11.7
GLTP,3rzn,regorafenib,11167602,regorafenib-11167602,-11.7
GLTP,3s0i,cobimetinib,16222096,cobimetinib-16222096,-11.7
GLTP,3s0i,venetoclax,49846579,venetoclax-49846579,-11.7
GLTP,3s0k,bexarotene,82146,bexarotene-82146,-11.7
GLTP,3s0k,palbociclib,5330286,palbociclib-5330286,-11.7
GLTP,4gh0,ibrutinib,24821094,ibrutinib-24821094,-11.7
GLTP,4gxg,aprepitant,135413536,aprepitant-135413536,-11.7
GLTP,4h2z,abemaciclib,46220502,abemaciclib-46220502,-11.7
FABP6,5l8i,nilotinib,644241,nilotinib-644241,-11.7
FABP6,5l8o,dactinomycin,457193,dactinomycin-457193,-11.7
FABP6,5l8o,nilotinib,644241,nilotinib-644241,-11.7
RHEB,6bsx,sonidegib,24775005,sonidegib-24775005,-11.7
GLTP,1sx6,aprepitant,135413536,aprepitant-135413536,-11.6
NR3C2,1ya3,nilotinib,644241,nilotinib-644241,-11.6
GLTP,2euk,abemaciclib,46220502,abemaciclib-46220502,-11.6
GLTP,2eum,venetoclax,49846579,venetoclax-49846579,-11.6
GLTP,2evd,venetoclax,49846579,venetoclax-49846579,-11.6
GLTP,3ric,vemurafenib,42611257,vemurafenib-42611257,-11.6
GLTP,3rzn,ibrutinib,24821094,ibrutinib-24821094,-11.6
GLTP,3s0k,panobinostat,6918837,panobinostat-6918837,-11.6
GLTP,4gh0,olaparib,23725625,olaparib-23725625,-11.6
VEGFA,4gls,alectinib,49806720,alectinib-49806720,-11.6
VEGFA,4gls,dactinomycin,457193,dactinomycin-457193,-11.6
GLTP,4gvt,alectinib,49806720,alectinib-49806720,-11.6
RHEB,6bt0,venetoclax,49846579,venetoclax-49846579,-11.6
VEGFA,1bj1,dactinomycin,457193,dactinomycin-457193,-11.5
GLTP,1sx6,abemaciclib,46220502,abemaciclib-46220502,-11.5
NR3C2,1ya3,dactinomycin,457193,dactinomycin-457193,-11.5
GLTP,2evl,venetoclax,49846579,venetoclax-49846579,-11.5
GLTP,2evt,panobinostat,6918837,panobinostat-6918837,-11.5
FABP6,2mm3,olaparib,23725625,olaparib-23725625,-11.5
GLTP,3rzn,cobimetinib,16222096,cobimetinib-16222096,-11.5
GLTP,3s0i,alectinib,49806720,alectinib-49806720,-11.5
GLTP,3s0i,bexarotene,82146,bexarotene-82146,-11.5
GLTP,3s0i,ibrutinib,24821094,ibrutinib-24821094,-11.5
GLTP,3s0i,olaparib,23725625,olaparib-23725625,-11.5
GLTP,3s0i,palbociclib,5330286,palbociclib-5330286,-11.5
GLTP,3s0i,vemurafenib,42611257,vemurafenib-42611257,-11.5
GLTP,4gh0,vemurafenib,42611257,vemurafenib-42611257,-11.5
GLTP,4gh0,vismodegib,24776445,vismodegib-24776445,-11.5
GLTP,4ghp,olaparib,23725625,olaparib-23725625,-11.5
GLTP,4gxd,cobimetinib,16222096,cobimetinib-16222096,-11.5
GLTP,4h2z,panobinostat,6918837,panobinostat-6918837,-11.5
PADI4,4x8g,sonidegib,24775005,sonidegib-24775005,-11.5
PADI4,4x8g,venetoclax,49846579,venetoclax-49846579,-11.5
CDH3,4zmw,dactinomycin,457193,dactinomycin-457193,-11.5
FABP6,5l8o,aprepitant,135413536,aprepitant-135413536,-11.5
NR3C2,5mwp,venetoclax,49846579,venetoclax-49846579,-11.5
GLTP,1sx6,regorafenib,11167602,regorafenib-11167602,-11.4
GLTP,2evs,nilotinib,644241,nilotinib-644241,-11.4
GLTP,3rzn,axitinib,6450551,axitinib-6450551,-11.4
GLTP,3rzn,olaparib,23725625,olaparib-23725625,-11.4
GLTP,3s0k,aprepitant,135413536,aprepitant-135413536,-11.4
GLTP,4gh0,exemestane,60198,exemestane-60198,-11.4
GLTP,4ghp,axitinib,6450551,axitinib-6450551,-11.4
VEGFA,4gls,nilotinib,644241,nilotinib-644241,-11.4
GLTP,4gxd,axitinib,6450551,axitinib-6450551,-11.4
NR3C2,5hcv,dactinomycin,457193,dactinomycin-457193,-11.4
NR3C2,5mwy,nilotinib,644241,nilotinib-644241,-11.4
GLTP,1sx6,palbociclib,5330286,palbociclib-5330286,-11.3
GLTP,2evd,axitinib,6450551,axitinib-6450551,-11.3
GLTP,2evl,aprepitant,135413536,aprepitant-135413536,-11.3
GLTP,2evl,olaparib,23725625,olaparib-23725625,-11.3
GLTP,2evs,dactinomycin,457193,dactinomycin-457193,-11.3
GLTP,2evt,vismodegib,24776445,vismodegib-24776445,-11.3
FABP6,2mm3,cobimetinib,16222096,cobimetinib-16222096,-11.3
FABP6,2mm3,sonidegib,24775005,sonidegib-24775005,-11.3
FABP6,2mm3,vemurafenib,42611257,vemurafenib-42611257,-11.3
PTPRN,3np5,olaparib,23725625,olaparib-23725625,-11.3
GLTP,3rzn,vemurafenib,42611257,vemurafenib-42611257,-11.3
GLTP,3rzn,venetoclax,49846579,venetoclax-49846579,-11.3
GLTP,3s0i,aprepitant,135413536,aprepitant-135413536,-11.3
GLTP,3s0k,apalutamide,24872560,apalutamide-24872560,-11.3
GLTP,3s0k,ceritinib,57379345,ceritinib-57379345,-11.3
GLTP,4gh0,aprepitant,135413536,aprepitant-135413536,-11.3
GLTP,4gh0,bexarotene,82146,bexarotene-82146,-11.3
GLTP,4gh0,ribociclib,44631912,ribociclib-44631912,-11.3
GLTP,4ghs,trametinib,11707110,trametinib-11707110,-11.3
GLTP,4gxd,olaparib,23725625,olaparib-23725625,-11.3
GLTP,4h2z,regorafenib,11167602,regorafenib-11167602,-11.3
NR3C2,5hcv,ivosidenib,71657455,ivosidenib-71657455,-11.3
GLTP,1sx6,alectinib,49806720,alectinib-49806720,-11.2
GLTP,1sx6,olaparib,23725625,olaparib-23725625,-11.2
NR3C2,1ya3,sonidegib,24775005,sonidegib-24775005,-11.2
GLTP,2euk,ibrutinib,24821094,ibrutinib-24821094,-11.2
GLTP,2evl,abemaciclib,46220502,abemaciclib-46220502,-11.2
VEGFA,2fjg,dactinomycin,457193,dactinomycin-457193,-11.2
GLTP,3s0k,cobimetinib,16222096,cobimetinib-16222096,-11.2
GLTP,3s0k,vandetanib,3081361,vandetanib-3081361,-11.2
GLTP,4gh0,abemaciclib,46220502,abemaciclib-46220502,-11.2
GLTP,4gh0,alectinib,49806720,alectinib-49806720,-11.2
GLTP,4gh0,regorafenib,11167602,regorafenib-11167602,-11.2
GLTP,4ghp,venetoclax,49846579,venetoclax-49846579,-11.2
GLTP,4gvt,nilotinib,644241,nilotinib-644241,-11.2
GLTP,4gxg,sonidegib,24775005,sonidegib-24775005,-11.2
GLTP,4h2z,olaparib,23725625,olaparib-23725625,-11.2
GLTP,4h2z,venetoclax,49846579,venetoclax-49846579,-11.2
NR3C2,5hcv,venetoclax,49846579,venetoclax-49846579,-11.2
VEGFA,1cz8,dactinomycin,457193,dactinomycin-457193,-11.1
GLTP,2euk,alectinib,49806720,alectinib-49806720,-11.1
GLTP,2euk,cobimetinib,16222096,cobimetinib-16222096,-11.1
GLTP,2euk,venetoclax,49846579,venetoclax-49846579,-11.1
GLTP,2evd,ibrutinib,24821094,ibrutinib-24821094,-11.1
GLTP,3ric,axitinib,6450551,axitinib-6450551,-11.1
GLTP,3ric,ibrutinib,24821094,ibrutinib-24821094,-11.1
GLTP,3ric,olaparib,23725625,olaparib-23725625,-11.1
GLTP,3rzn,alectinib,49806720,alectinib-49806720,-11.1
GLTP,3s0i,axitinib,6450551,axitinib-6450551,-11.1
GLTP,3s0k,enzalutamide,15951529,enzalutamide-15951529,-11.1
GLTP,4gh0,cobimetinib,16222096,cobimetinib-16222096,-11.1
GLTP,4gh0,crizotinib,11626560,crizotinib-11626560,-11.1
GLTP,4ghp,cobimetinib,16222096,cobimetinib-16222096,-11.1
GLTP,4ghs,olaparib,23725625,olaparib-23725625,-11.1
GLTP,4gix,venetoclax,49846579,venetoclax-49846579,-11.1
GLTP,4gjq,aprepitant,135413536,aprepitant-135413536,-11.1
VEGFA,4gls,aprepitant,135413536,aprepitant-135413536,-11.1
VEGFA,4gls,paclitaxel,441276,paclitaxel-441276,-11.1
GLTP,4gvt,olaparib,23725625,olaparib-23725625,-11.1
GLTP,4gvt,vemurafenib,42611257,vemurafenib-42611257,-11.1
GLTP,4gxg,vemurafenib,42611257,vemurafenib-42611257,-11.1
FABP6,5l8i,venetoclax,49846579,venetoclax-49846579,-11.1
NCKIPSD,6ded,venetoclax,49846579,venetoclax-49846579,-11.1
GLTP,2eum,fulvestrant,104741,fulvestrant-104741,-11
GLTP,2evd,regorafenib,11167602,regorafenib-11167602,-11
GLTP,2evt,plerixafor,65015,plerixafor-65015,-11
EPB41L3,2he7,venetoclax,49846579,venetoclax-49846579,-11
FABP6,2mm3,ribociclib,44631912,ribociclib-44631912,-11
GLTP,3rzn,vismodegib,24776445,vismodegib-24776445,-11
GLTP,3s0i,enzalutamide,15951529,enzalutamide-15951529,-11
GLTP,3s0i,fulvestrant,104741,fulvestrant-104741,-11
GLTP,3s0i,toremifene,3005573,toremifene-3005573,-11
GLTP,4gh0,apalutamide,24872560,apalutamide-24872560,-11
GLTP,4gh0,etoposide,137704929,etoposide-137704929,-11
GLTP,4ghp,fulvestrant,104741,fulvestrant-104741,-11
GLTP,4gix,nilotinib,644241,nilotinib-644241,-11
GLTP,4gix,sonidegib,24775005,sonidegib-24775005,-11
GLTP,4gix,vemurafenib,42611257,vemurafenib-42611257,-11
GLTP,4gjq,abemaciclib,46220502,abemaciclib-46220502,-11
GLTP,4gjq,bexarotene,82146,bexarotene-82146,-11
GLTP,4gjq,vemurafenib,42611257,vemurafenib-42611257,-11
VEGFA,4gls,paclitaxel,44155032,paclitaxel-44155032,-11
GLTP,4gxg,regorafenib,11167602,regorafenib-11167602,-11
FABP6,1o1v,alectinib,49806720,alectinib-49806720,-10.9
FABP6,1o1v,venetoclax,49846579,venetoclax-49846579,-10.9
GLTP,1sx6,panobinostat,6918837,panobinostat-6918837,-10.9
GLTP,2euk,axitinib,6450551,axitinib-6450551,-10.9
GLTP,2euk,olaparib,23725625,olaparib-23725625,-10.9
GLTP,2evd,olaparib,23725625,olaparib-23725625,-10.9
GLTP,2evl,bicalutamide,2375,bicalutamide-2375,-10.9
GLTP,2evl,regorafenib,11167602,regorafenib-11167602,-10.9
GLTP,3ric,fulvestrant,104741,fulvestrant-104741,-10.9
GLTP,3ric,panobinostat,6918837,panobinostat-6918837,-10.9
GLTP,3s0k,etoposide,137704929,etoposide-137704929,-10.9
GLTP,3s0k,fulvestrant,104741,fulvestrant-104741,-10.9
GLTP,3s0k,toremifene,3005573,toremifene-3005573,-10.9
GLTP,4ghp,ibrutinib,24821094,ibrutinib-24821094,-10.9
GLTP,4ghs,aprepitant,135413536,aprepitant-135413536,-10.9
VEGFA,4gls,axitinib,6450551,axitinib-6450551,-10.9
VEGFA,4gls,ceritinib,57379345,ceritinib-57379345,-10.9
GLTP,4gvt,venetoclax,49846579,venetoclax-49846579,-10.9
GLTP,4gxg,carfilzomib,11556711,carfilzomib-11556711,-10.9
PADI4,4x8c,venetoclax,49846579,venetoclax-49846579,-10.9
VEGFA,5o4e,venetoclax,49846579,venetoclax-49846579,-10.9
RHEB,6bt0,nilotinib,644241,nilotinib-644241,-10.9
FABP6,1o1v,nilotinib,644241,nilotinib-644241,-10.8
FABP6,1o1v,olaparib,23725625,olaparib-23725625,-10.8
GLTP,1sx6,fulvestrant,104741,fulvestrant-104741,-10.8
GLTP,2euk,fulvestrant,104741,fulvestrant-104741,-10.8
GLTP,2evl,alectinib,49806720,alectinib-49806720,-10.8
GLTP,2evs,venetoclax,49846579,venetoclax-49846579,-10.8
GLTP,3rzn,vandetanib,3081361,vandetanib-3081361,-10.8
GLTP,3s0i,abemaciclib,46220502,abemaciclib-46220502,-10.8
GLTP,3s0i,panobinostat,6918837,panobinostat-6918837,-10.8
GLTP,3s0i,vismodegib,24776445,vismodegib-24776445,-10.8
GLTP,3s0k,trametinib,11707110,trametinib-11707110,-10.8
GLTP,4gh0,axitinib,6450551,axitinib-6450551,-10.8
GLTP,4gh0,bicalutamide,2375,bicalutamide-2375,-10.8
GLTP,4gh0,enzalutamide,15951529,enzalutamide-15951529,-10.8
GLTP,4gh0,ixabepilone,6445540,ixabepilone-6445540,-10.8
GLTP,4ghp,dactinomycin,457193,dactinomycin-457193,-10.8
GLTP,4ghp,regorafenib,11167602,regorafenib-11167602,-10.8
GLTP,4gjq,etoposide,6419930,etoposide-6419930,-10.8
VEGFA,4gls,etoposide,11072012,etoposide-11072012,-10.8
VEGFA,4gls,olaparib,23725625,olaparib-23725625,-10.8
GLTP,4gvt,aprepitant,135413536,aprepitant-135413536,-10.8
GLTP,4gvt,bexarotene,82146,bexarotene-82146,-10.8
GLTP,4gvt,sonidegib,24775005,sonidegib-24775005,-10.8
GLTP,4gxd,dactinomycin,457193,dactinomycin-457193,-10.8
GLTP,4gxd,vemurafenib,42611257,vemurafenib-42611257,-10.8
GLTP,4gxg,alectinib,49806720,alectinib-49806720,-10.8
PADI4,4x8g,nilotinib,644241,nilotinib-644241,-10.8
CDH3,4zmv,dactinomycin,457193,dactinomycin-457193,-10.8
NR3C2,5hcv,paclitaxel,6713921,paclitaxel-6713921,-10.8
NR3C2,5l7h,venetoclax,49846579,venetoclax-49846579,-10.8
FABP6,5l8o,venetoclax,49846579,venetoclax-49846579,-10.8
GLTP,1sx6,vandetanib,3081361,vandetanib-3081361,-10.7
GLTP,2euk,bicalutamide,2375,bicalutamide-2375,-10.7
GLTP,2euk,regorafenib,11167602,regorafenib-11167602,-10.7
GLTP,2evs,ibrutinib,24821094,ibrutinib-24821094,-10.7
FABP6,2mm3,axitinib,6450551,axitinib-6450551,-10.7
FABP6,2mm3,bicalutamide,2375,bicalutamide-2375,-10.7
GLTP,3ric,apalutamide,24872560,apalutamide-24872560,-10.7
GLTP,3s0i,carfilzomib,11556711,carfilzomib-11556711,-10.7
GLTP,3s0k,vismodegib,24776445,vismodegib-24776445,-10.7
GLTP,4ghp,palbociclib,5330286,palbociclib-5330286,-10.7
GLTP,4ghs,carfilzomib,11556711,carfilzomib-11556711,-10.7
GLTP,4ghs,ceritinib,57379345,ceritinib-57379345,-10.7
VEGFA,4gls,apalutamide,24872560,apalutamide-24872560,-10.7
VEGFA,4gls,etoposide,9916469,etoposide-9916469,-10.7
GLTP,4gxg,enzalutamide,15951529,enzalutamide-15951529,-10.7
GLTP,4gxg,fulvestrant,104741,fulvestrant-104741,-10.7
GLTP,4gxg,plerixafor,65015,plerixafor-65015,-10.7
VEGFA,4qaf,sonidegib,24775005,sonidegib-24775005,-10.7
CDH3,4zmt,dactinomycin,457193,dactinomycin-457193,-10.7
FABP6,5l8n,dactinomycin,457193,dactinomycin-457193,-10.7
FABP6,5l8o,alectinib,49806720,alectinib-49806720,-10.7
FABP6,1o1v,apalutamide,24872560,apalutamide-24872560,-10.6
VEGFA,1qty,venetoclax,49846579,venetoclax-49846579,-10.6
GLTP,1swx,axitinib,6450551,axitinib-6450551,-10.6
GLTP,1swx,regorafenib,11167602,regorafenib-11167602,-10.6
GLTP,1sx6,ceritinib,57379345,ceritinib-57379345,-10.6
GLTP,1sx6,ibrutinib,24821094,ibrutinib-24821094,-10.6
GLTP,2euk,aprepitant,135413536,aprepitant-135413536,-10.6
GLTP,2euk,panobinostat,6918837,panobinostat-6918837,-10.6
GLTP,2euk,vismodegib,24776445,vismodegib-24776445,-10.6
GLTP,2eum,olaparib,23725625,olaparib-23725625,-10.6
GLTP,2evd,fulvestrant,104741,fulvestrant-104741,-10.6
GLTP,2evd,panobinostat,6918837,panobinostat-6918837,-10.6
EPB41L3,2he7,aprepitant,135413536,aprepitant-135413536,-10.6
EPB41L3,2he7,olaparib,23725625,olaparib-23725625,-10.6
FABP6,2mm3,apalutamide,24872560,apalutamide-24872560,-10.6
FABP6,2mm3,crizotinib,11626560,crizotinib-11626560,-10.6
PTPRN,3np5,aprepitant,135413536,aprepitant-135413536,-10.6
PTPRN,3np5,sonidegib,24775005,sonidegib-24775005,-10.6
GLTP,3ric,abemaciclib,46220502,abemaciclib-46220502,-10.6
GLTP,3ric,aprepitant,135413536,aprepitant-135413536,-10.6
GLTP,3ric,vismodegib,24776445,vismodegib-24776445,-10.6
GLTP,3rzn,belinostat,6918638,belinostat-6918638,-10.6
GLTP,3rzn,crizotinib,11626560,crizotinib-11626560,-10.6
GLTP,3s0i,ceritinib,57379345,ceritinib-57379345,-10.6
GLTP,4gh0,ceritinib,57379345,ceritinib-57379345,-10.6
GLTP,4gh0,paclitaxel,441276,paclitaxel-441276,-10.6
GLTP,4ghp,aprepitant,135413536,aprepitant-135413536,-10.6
GLTP,4ghs,ixabepilone,6445540,ixabepilone-6445540,-10.6
GLTP,4gjq,cobimetinib,16222096,cobimetinib-16222096,-10.6
VEGFA,4gls,etoposide,17571827,etoposide-17571827,-10.6
VEGFA,4gls,sonidegib,24775005,sonidegib-24775005,-10.6
GLTP,4gxd,alectinib,49806720,alectinib-49806720,-10.6
GLTP,4gxd,bexarotene,82146,bexarotene-82146,-10.6
GLTP,4gxd,enzalutamide,15951529,enzalutamide-15951529,-10.6
GLTP,4gxd,ixabepilone,6445540,ixabepilone-6445540,-10.6
GLTP,4gxd,regorafenib,11167602,regorafenib-11167602,-10.6
GLTP,4gxg,abemaciclib,46220502,abemaciclib-46220502,-10.6
NR3C2,5hcv,aprepitant,135413536,aprepitant-135413536,-10.6
FABP6,5l8i,olaparib,23725625,olaparib-23725625,-10.6
FABP6,5l8n,olaparib,23725625,olaparib-23725625,-10.6
GLTP,1sx6,axitinib,6450551,axitinib-6450551,-10.5
GLTP,1sx6,enzalutamide,15951529,enzalutamide-15951529,-10.5
GLTP,1sx6,etoposide,137704929,etoposide-137704929,-10.5
NR3C2,1ya3,aprepitant,135413536,aprepitant-135413536,-10.5
GLTP,2evd,alectinib,49806720,alectinib-49806720,-10.5
GLTP,2evd,aprepitant,135413536,aprepitant-135413536,-10.5
GLTP,2evd,palbociclib,5330286,palbociclib-5330286,-10.5
GLTP,2evl,bexarotene,82146,bexarotene-82146,-10.5
GLTP,2evl,ibrutinib,24821094,ibrutinib-24821094,-10.5
GLTP,2evs,panobinostat,6918837,panobinostat-6918837,-10.5
FABP6,2mm3,panobinostat,6918837,panobinostat-6918837,-10.5
FABP6,2mm3,vismodegib,24776445,vismodegib-24776445,-10.5
GLTP,3rwv,sonidegib,24775005,sonidegib-24775005,-10.5
GLTP,3rzn,fulvestrant,104741,fulvestrant-104741,-10.5
GLTP,3rzn,granisetron,17572266,granisetron-17572266,-10.5
GLTP,3s0i,etoposide,137704929,etoposide-137704929,-10.5
GLTP,3s0i,trametinib,11707110,trametinib-11707110,-10.5
GLTP,3s0k,crizotinib,11626560,crizotinib-11626560,-10.5
RHEB,3sea,regorafenib,11167602,regorafenib-11167602,-10.5
GLTP,4gh0,panobinostat,6918837,panobinostat-6918837,-10.5
GLTP,4gh0,temsirolimus,148191,temsirolimus-148191,-10.5
GLTP,4gh0,temsirolimus,5938194,temsirolimus-5938194,-10.5
GLTP,4ghp,panobinostat,6918837,panobinostat-6918837,-10.5
GLTP,4ghs,abemaciclib,46220502,abemaciclib-46220502,-10.5
GLTP,4ghs,apalutamide,24872560,apalutamide-24872560,-10.5
GLTP,4ghs,vemurafenib,42611257,vemurafenib-42611257,-10.5
GLTP,4gix,ixabepilone,6445540,ixabepilone-6445540,-10.5
GLTP,4gix,olaparib,23725625,olaparib-23725625,-10.5
GLTP,4gjq,carfilzomib,11556711,carfilzomib-11556711,-10.5
GLTP,4gjq,ceritinib,57379345,ceritinib-57379345,-10.5
GLTP,4gjq,enzalutamide,15951529,enzalutamide-15951529,-10.5
GLTP,4gjq,palbociclib,5330286,palbociclib-5330286,-10.5
GLTP,4gjq,regorafenib,11167602,regorafenib-11167602,-10.5
VEGFA,4gls,etoposide,36462,etoposide-36462,-10.5
VEGFA,4gls,etoposide,50989217,etoposide-50989217,-10.5
VEGFA,4gls,paclitaxel,6713921,paclitaxel-6713921,-10.5
VEGFA,4gls,romidepsin,123135747,romidepsin-123135747,-10.5
VEGFA,4gls,temsirolimus,129317846,temsirolimus-129317846,-10.5
GLTP,4gxd,vismodegib,24776445,vismodegib-24776445,-10.5
GLTP,4gxg,apalutamide,24872560,apalutamide-24872560,-10.5
GLTP,4h2z,crizotinib,11626560,crizotinib-11626560,-10.5
GLTP,4h2z,fulvestrant,104741,fulvestrant-104741,-10.5
VEGFA,5hhd,dactinomycin,457193,dactinomycin-457193,-10.5
FABP6,5l8n,nilotinib,644241,nilotinib-644241,-10.5
RHEB,6bsx,venetoclax,49846579,venetoclax-49846579,-10.5
GLTP,1sx6,bexarotene,82146,bexarotene-82146,-10.4
GLTP,1sx6,granisetron,17572266,granisetron-17572266,-10.4
VEGFA,1tzi,venetoclax,49846579,venetoclax-49846579,-10.4
NR3C2,1ya3,venetoclax,49846579,venetoclax-49846579,-10.4
GLTP,2euk,bexarotene,82146,bexarotene-82146,-10.4
GLTP,2evd,vemurafenib,42611257,vemurafenib-42611257,-10.4
GLTP,2evl,axitinib,6450551,axitinib-6450551,-10.4
GLTP,2evl,fulvestrant,104741,fulvestrant-104741,-10.4
GLTP,2evl,vemurafenib,42611257,vemurafenib-42611257,-10.4
GLTP,2evs,bexarotene,82146,bexarotene-82146,-10.4
GLTP,2evt,exemestane,60198,exemestane-60198,-10.4
GLTP,2evt,thalidomide,5426,thalidomide-5426,-10.4
VEGFA,3bdy,dactinomycin,457193,dactinomycin-457193,-10.4
PTPRN,3np5,etoposide,6610299,etoposide-6610299,-10.4
PTPRN,3np5,trametinib,11707110,trametinib-11707110,-10.4
GLTP,3ric,vandetanib,3081361,vandetanib-3081361,-10.4
GLTP,3rzn,enzalutamide,15951529,enzalutamide-15951529,-10.4
GLTP,3rzn,etoposide,6610299,etoposide-6610299,-10.4
GLTP,3rzn,panobinostat,6918837,panobinostat-6918837,-10.4
GLTP,3s0i,vandetanib,3081361,vandetanib-3081361,-10.4
GLTP,3s0k,belinostat,6918638,belinostat-6918638,-10.4
GLTP,4gh0,brigatinib,68165256,brigatinib-68165256,-10.4
GLTP,4gh0,trametinib,11707110,trametinib-11707110,-10.4
GLTP,4ghs,regorafenib,11167602,regorafenib-11167602,-10.4
GLTP,4gjq,trametinib,11707110,trametinib-11707110,-10.4
VEGFA,4gls,bicalutamide,2375,bicalutamide-2375,-10.4
